rank,enr_contractor_name,search_term,procore_company_name,location,city,state,address,profile_url,joined_date,total_projects,active_projects,avg_project_size,procore_users,business_types,market_sectors,match_confidence
36,GRANITE CONSTRUCTION INC.,GRANITE CONSTRUCTION,Granite Construction,"Yakima, WA",Yakima,WA,"80 Pond Rd Yakima, WA 98901",https://network.procore.com/p/granite-construction-yakima,November 2023,13,8,65246320,2,"General Contractor, Specialty Contractor, Supplier","Commercial, Industrial and Energy, Infrastructure, Institutional, Residential",1.0
36,GRANITE CONSTRUCTION INC.,GRANITE CONSTRUCTION,Granite Construction,"Sparks, NV",Sparks,NV,"1900 Glendale Ave Sparks, NV 89431",https://network.procore.com/p/granite-construction-sparks,December 2023,7,6,9914257,1,General Contractor,"Commercial, Industrial and Energy, Infrastructure",1.0
36,GRANITE CONSTRUCTION INC.,GRANITE CONSTRUCTION,Granite Construction Company,"Everett, WA",Everett,WA,"1525 E Marine View Dr Everett, WA 98201",https://network.procore.com/p/granite-construction-company-everett-2,August 2025,,,,1,General Contractor,Infrastructure,1.0
36,GRANITE CONSTRUCTION INC.,GRANITE CONSTRUCTION,GRANITE,"Baltimore, MD",Baltimore,MD,"4000 Granite Rd Baltimore, MD 21206",https://network.procore.com/p/granite-baltimore,April 2025,,,,1,Specialty Contractor,Commercial,1.0
40,THE YATES COS. INC.,YATES CONSTRUCTION,Yates Construction,"Philadelphia, MS",Philadelphia,MS,"1 Gully Ave Philadelphia, MS 39350",https://network.procore.com/p/yates-construction-philadelphia,January 2024,4,3,1803333333,1,General Contractor,"Commercial, Industrial and Energy, Infrastructure, Institutional",1.0
40,THE YATES COS. INC.,YATES CONSTRUCTION,Yates Construction,"Stokesdale, NC",Stokesdale,NC,"9220 NC-65 Stokesdale, NC 27357",https://network.procore.com/p/yates-construction-stokesdale,April 2024,13,3,8747231,2,Specialty Contractor,"Commercial, Healthcare, Industrial and Energy, Infrastructure, Institutional, Residential",1.0
40,THE YATES COS. INC.,YATES CONSTRUCTION,Yates Construction,"Biloxi, MS",Biloxi,MS,"115 Main St Biloxi, MS 39530",https://network.procore.com/p/yates-construction-biloxi,June 2023,31,31,4828377,1,General Contractor,"Commercial, Industrial and Energy, Infrastructure, Institutional",1.0
40,THE YATES COS. INC.,YATES CONSTRUCTION,Yates Construction,"Atlanta, GA",Atlanta,GA,"1870 The Exchange SE Atlanta, GA 30339",https://network.procore.com/p/yates-construction-atlanta,May 2025,14,14,5900000,1,"Engineer, General Contractor","Commercial, Industrial and Energy, Infrastructure, Institutional",1.0
40,THE YATES COS. INC.,YATES CONSTRUCTION,Yates Construction,"Birmingham, AL",Birmingham,AL,"1855 Data Dr Birmingham, AL 35244",https://network.procore.com/p/yates-construction-birmingham,September 2023,,,,1,General Contractor,Industrial and Energy,1.0
40,THE YATES COS. INC.,YATES CONSTRUCTION,Yates Construction,"Jackson, MS",Jackson,MS,"781 Larson St Jackson, MS 39202",https://network.procore.com/p/yates-construction-jackson,March 2023,2,2,3044500000,1,General Contractor,"Commercial, Healthcare, Industrial and Energy, Infrastructure, Institutional, Residential",1.0
